history_id,tax_year,taxing_district_code,county_code,district_name,levy_short,locally_assessed_value,levy_rate,district_levy,highest_prior_levy,new_construction_assessed_value,prior_year_levy_rate,prior_year_state_assessed_property,two_years_prior_state_assessed_property,two_years_prior_annexation_assessed_value,two_years_prior_annex_tax_due,two_years_prior_refund_tax_due,maximum_allowable_levy_101_calc,levy_name_canonical,entity_key,mcag,reporting_status,parent_mcag,sao_legal_name,review_needed,agency_common_name,agency_type,source_file
2020:290000000,2020,290000000,29,State School Part 1,STSCH,21099965651,1.8977599999999999,40042632,0,0,0,0,0,0,0,0,0,State School Fund,WA_STATE_SCHOOL_1,,state_levy,,WA Dept of Revenue,false,,,All_County_Levy_Detail_2020.xlsx
2020:290000200,2020,290000200,29,State School Part 2,STSCH2,20844313610,1.02166,21295784,0,0,0,0,0,0,0,0,0,State Levy School Part 2,WA_STATE_SCHOOL_2,,state_levy,,WA Dept of Revenue,false,,,All_County_Levy_Detail_2020.xlsx
2020:290100000,2020,290100000,29,County General,COUNTYCE,21157321251,1.30043,27513558,26459358.75,409526067,1.34389,554180314,563228769,0,0,0,27274309,Current Expense,SKAGIT_COUNTY,0158,reports_independently,,Skagit County,false,Skagit County,county,All_County_Levy_Detail_2020.xlsx
2020:290101180,2020,290101180,29,Conservation Futures,CONFUT,21157321251,4.4350000000000001E-2,938253,928963.87,409526067,4.7440000000000003E-2,554180314,563228769,0,0,0,957683,Conservation Futures,SKAGIT_COUNTY,0158,sub_levy,0158,Skagit County,false,Skagit County,county,All_County_Levy_Detail_2020.xlsx
2020:290200100,2020,290200100,29,County Road,CORD,10105045293,1.46251,14778737,17128909.859999999,249210896,1.66093,304332725,304486037,0,0,0,17714121,County Road,SKAGIT_COUNTY,0158,sub_levy,0158,Skagit County,false,Skagit County,county,All_County_Levy_Detail_2020.xlsx
2020:290200200,2020,290200200,29,County Road Diverted,CORDDIV,10105045293,0.1336,1350000,0,0,0,0,0,0,0,0,0,Road Diversion Fund,SKAGIT_COUNTY,0158,sub_levy,0158,Skagit County,false,Skagit County,county,All_County_Levy_Detail_2020.xlsx
2020:290300100,2020,290300100,29,Anacortes,TANAGEN,3985572170,1.32891,5296453,5176619.25,47910100,1.40622,26172015,26222888,0,0,696,5296453,Anacortes General,ANACORTES,0628,reports_independently,,City of Anacortes,false,City of Anacortes,city,All_County_Levy_Detail_2020.xlsx
2020:290300200,2020,290300200,29,Burlington,TBURGEN,1666063809,1.6574,2761330,2934573.8,33361350,1.67944,53934093,52994496,0,0,0,3021526,Burlington General,BURLINGTON,0633,reports_independently,,City of Burlington,false,City of Burlington,city,All_County_Levy_Detail_2020.xlsx
2020:290300300,2020,290300300,29,Concrete,TCONGEN,165399083,3.1049899999999999,513562,507688.2,254800,3.1265100000000001,103077723,111050976,0,0,0,513562,Concrete General,CONCRETE,0636,reports_independently,,Town of Concrete,false,Town of Concrete,city,All_County_Levy_Detail_2020.xlsx
2020:290300400,2020,290300400,29,Hamilton,THAMGEN,70020169,0.91020999999999996,63733,59721.77,12862600,0.99870999999999999,503749,542535,0,0,991,74156,Hamilton General,HAMILTON,0638,reports_independently,,Town of Hamilton,false,Town of Hamilton,city,All_County_Levy_Detail_2020.xlsx
